Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,24,OKC,6,0,18.3,1.3,3.3,0.4,1,2.2,0.462,0.3,1.2,0.286,0.55,0.3,0.3,1,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4
2,Steven Adams\adamsst01,C,24,OKC,6,6,33.3,4.5,7.7,0.587,0,0,,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5
3,Bam Adebayo\adebaba01,C,20,MIA,5,0,15.4,1.4,3,0.467,0,0.2,0,1.4,2.8,0.5,0.467,0.6,2.8,0.214,1.8,2.2,4,0,0,0.4,0.4,1.6,3.4
4,LaMarcus Aldridge\aldrila01,C,32,SAS,5,5,35.4,7.4,16,0.463,0.6,1,0.6,6.8,15,0.453,0.481,8.2,8.4,0.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6
5,Al-Farouq Aminu\aminual01,PF,27,POR,4,4,32.8,6.8,13,0.519,3.3,7.5,0.433,3.5,5.5,0.636,0.644,0.5,0.5,1,3,6,9,1.3,1,0.5,1.5,2,17.3
6,Justin Anderson\anderju01,SF,24,PHI,7,0,4.7,0.4,1.1,0.375,0.3,1,0.286,0.1,0.1,1,0.5,0,0,,0.1,1.1,1.3,0,0.1,0,0.3,1.1,1.1
7,Kyle Anderson\anderky01,SF,24,SAS,5,1,14.6,2.4,4,0.6,0,0.8,0,2.4,3.2,0.75,0.6,0.6,0.8,0.75,1,1.6,2.6,0.6,1.2,0.2,0.6,2,5.4
8,Ryan Anderson\anderry01,PF,29,HOU,11,0,8.6,0.6,1.8,0.35,0.5,1.4,0.333,0.2,0.5,0.4,0.475,0,0,,0.4,0.8,1.2,0.5,0.3,0.1,0.3,0.9,1.7
9,Giannis Antetokounmpo\antetgi01,PF,23,MIL,7,7,40,9.9,17.3,0.57,0.6,2,0.286,9.3,15.3,0.607,0.587,5.4,7.9,0.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4,25.7
10,Carmelo Anthony\anthoca01,PF,33,OKC,6,6,32.3,4.5,12,0.375,1,4.7,0.214,3.5,7.3,0.477,0.417,1.8,2.5,0.733,0.5,5.2,5.7,0.3,1.7,0.7,1,2.3,11.8
11,OG Anunoby\anunoog01,SF,20,TOR,10,10,23.8,2.9,5.2,0.558,1.3,2.9,0.448,1.6,2.3,0.696,0.683,0.8,1.1,0.727,0.9,1.2,2.1,0.7,0.6,0.4,0.6,2.3,7.9
12,Trevor Ariza\arizatr01,SF,32,HOU,17,17,34.2,2.9,8.2,0.36,1.5,5.4,0.286,1.4,2.8,0.5,0.453,1.4,1.8,0.742,0.5,3.3,3.8,1.3,1.1,0.1,0.6,2.6,8.8
13,Luke Babbitt\babbilu01,SF,28,MIA,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0
14,Wade Baldwin\baldwwa01,PG,21,POR,4,0,4.8,0.3,1,0.25,0.3,0.3,1,0,0.8,0,0.375,0.3,0.5,0.5,0,0.8,0.8,0.8,0.3,0.3,0.8,0.3,1
15,Jerryd Bayless\bayleje01,SG,29,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
16,Aron Baynes\baynear01,C,31,BOS,19,12,20.5,2.4,4.7,0.506,0.6,1.2,0.478,1.8,3.5,0.515,0.567,0.7,0.9,0.722,2.4,3.8,6.2,1,0.2,0.6,0.4,2.3,6
17,Bradley Beal\bealbr01,SG,24,WAS,6,6,36,8.2,18,0.454,3.5,7.5,0.467,4.7,10.5,0.444,0.551,3.3,3.8,0.87,0.3,3,3.3,2.8,1.2,0.3,2.5,3.2,23.2
18,Marco Belinelli\belinma01,SG,31,PHI,10,0,27.3,4.3,10.6,0.406,1.6,4.6,0.348,2.7,6,0.45,0.481,2.7,3.1,0.871,0.1,2,2.1,2,0.7,0,0.4,2,12.9
19,Jordan Bell\belljo01,C,23,GSW,17,0,10.2,1,1.9,0.531,0,0.1,0,1,1.8,0.548,0.531,0.4,0.8,0.5,0.9,1.9,2.8,0.9,0.4,0.5,0.4,1.1,2.4
20,Davis Bertans\bertada01,PF,25,SAS,5,0,16.4,0.6,3.6,0.167,0.6,3.2,0.188,0,0.4,0,0.25,1.6,2.2,0.727,0.2,2,2.2,1.2,0.4,0,0.2,2,3.4
21,Nemanja Bjelica\bjeline01,PF,29,MIN,5,0,9.4,1.4,3.2,0.438,0.8,1.4,0.571,0.6,1.8,0.333,0.563,1,1.4,0.714,0.8,2.2,3,0.6,0.6,0,0.2,1.2,4.6
22,Tarik Black\blackta01,C,26,HOU,7,0,2.7,0.1,0.6,0.25,0,0,,0.1,0.6,0.25,0.25,0,0,,0.3,0.6,0.9,0.3,0,0.1,0.1,0.7,0.3
23,Eric Bledsoe\bledser01,PG,28,MIL,7,7,32.1,5.3,12,0.44,1,3.1,0.318,4.3,8.9,0.484,0.482,2,2.9,0.7,0.4,3.1,3.6,3.7,1,0.9,2.1,2.7,13.6
24,Bojan Bogdanovic\bogdabo02,SF,28,IND,7,7,34,4.6,11.6,0.395,2.4,6.4,0.378,2.1,5.1,0.417,0.5,0.9,1.4,0.6,0.1,3.3,3.4,1.9,0.9,0,1.9,3.3,12.4
25,Trevor Booker\booketr01,PF,30,IND,7,0,9.1,0.9,1.4,0.6,0,0.1,0,0.9,1.3,0.667,0.6,0.9,1,0.857,0.7,1.9,2.6,0,0.1,0.1,0.1,1.7,2.6
26,Tony Bradley\bradlto01,C,20,UTA,1,0,2,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,0,0,0,2
27,Corey Brewer\breweco01,SG,31,OKC,6,6,25.2,2.2,4.2,0.52,0.8,1.8,0.455,1.3,2.3,0.571,0.62,1,1,1,0.7,1.5,2.2,0.8,1.2,0.8,0.3,2.8,6.2
28,Malcolm Brogdon\brogdma01,PG,25,MIL,7,5,26.6,3.4,7.9,0.436,0.7,2.7,0.263,2.7,5.1,0.528,0.482,1.1,1.4,0.8,0.4,3,3.4,2.4,0.1,0,1.7,2,8.7
29,Aaron Brooks\brookaa01,PG,33,MIN,2,0,1.5,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0,1,0,0,0,0,0,0,0,0,0,2
30,Jaylen Brown\brownja02,SG,21,BOS,18,15,32.4,6.9,14.8,0.466,2.4,6.2,0.393,4.4,8.6,0.519,0.549,1.8,2.8,0.64,0.9,3.9,4.8,1.4,0.8,0.6,1.3,3.2,18
31,Lorenzo Brown\brownlo01,PG,27,TOR,4,0,7.3,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0.3,0.5,0.5,0.3,1.3,1.5,0.5,0,0.3,0.3,0.5,2.3
32,Sterling Brown\brownst02,SG,22,MIL,3,0,4.3,1,1.7,0.6,0.3,1,0.333,0.7,0.7,1,0.7,0,0,,0.3,0.3,0.7,0,0.3,0,0,0.7,2.3
33,Alec Burks\burksal01,SG,26,UTA,9,0,13.3,3.3,7.1,0.469,1,2.2,0.45,2.3,4.9,0.477,0.539,1.4,1.7,0.867,0.2,2.4,2.7,1.9,0.4,0.1,0.9,1,9.1
34,Jimmy Butler\butleji01,SG,28,MIN,5,5,34,5.6,12.6,0.444,1.6,3.4,0.471,4,9.2,0.435,0.508,3,3.6,0.833,0.6,5.4,6,4,0.8,0.2,1,1.8,15.8
35,Jose Calderon\caldejo01,PG,36,CLE,13,3,8,0.7,2,0.346,0.3,1.4,0.222,0.4,0.6,0.625,0.423,0.2,0.2,1,0.2,0.7,0.8,0.7,0.4,0,0.4,1.2,1.8
36,Clint Capela\capelca01,C,23,HOU,17,17,30.6,5.6,8.5,0.66,0,0,,5.6,8.5,0.66,0.66,1.5,3.2,0.473,3.6,8,11.6,1.3,0.8,2.1,0.9,2.2,12.7
37,Ian Clark\clarkia01,SG,26,NOP,9,0,21.1,3.1,7.3,0.424,1.1,3.1,0.357,2,4.2,0.474,0.5,0.4,0.4,1,0.2,0.9,1.1,1.2,0.9,0.2,1,2.2,7.8
38,Jordan Clarkson\clarkjo01,SG,25,CLE,19,0,15.1,1.9,6.5,0.301,0.6,2.4,0.239,1.4,4.1,0.338,0.346,0.3,0.3,0.833,0.5,1.2,1.7,0.7,0.4,0.2,0.7,1.1,4.7
39,Zach Collins\colliza01,C,20,POR,4,0,17.5,2.8,7.5,0.367,0.8,3.5,0.214,2,4,0.5,0.417,0.8,1,0.75,0.8,2.3,3,1.5,0.8,0.5,0.5,2.5,7
40,Darren Collison\collida01,PG,30,IND,7,7,30.6,4.4,9.7,0.456,1.1,3.3,0.348,3.3,6.4,0.511,0.515,1.3,1.7,0.75,0.1,2.9,3,4.7,1,0,1.3,1,11.3
41,Pat Connaughton\connapa01,SG,25,POR,4,0,14.8,1.5,3.8,0.4,0.5,2.5,0.2,1,1.3,0.8,0.467,0.5,0.5,1,0.5,0.5,1,1.5,0.3,0.3,0.3,2.3,4
42,Quinn Cook\cookqu01,PG,24,GSW,17,0,10.3,1.8,3.9,0.448,0.4,1.8,0.226,1.4,2.1,0.639,0.5,0.8,1,0.824,0.1,1.2,1.4,0.6,0.2,0.1,0.3,0.8,4.8
43,Robert Covington\covinro01,SF,27,PHI,10,8,28.1,2.7,8.3,0.325,1.5,4.8,0.313,1.2,3.5,0.343,0.416,1.2,1.6,0.75,1.2,4.1,5.3,2.5,1.1,0.9,1.1,3,8.1
44,Jamal Crawford\crawfja01,SG,37,MIN,5,0,24.6,4.2,9.4,0.447,1.4,3.4,0.412,2.8,6,0.467,0.521,2,2.6,0.769,0.2,2.4,2.6,2.4,1,0,1,1.2,11.8
45,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,7.5,4,6.5,0.615,1.5,4,0.375,2.5,2.5,1,0.731,0,0,,0,2,2,0.5,0.5,0,1.5,0.5,9.5
46,Jae Crowder\crowdja01,SF,27,UTA,11,2,29.4,3.2,9.8,0.324,2,6,0.333,1.2,3.8,0.31,0.426,1.6,2.5,0.643,0.4,4.7,5.1,1.7,1.4,0.2,1.3,2.3,10
47,Stephen Curry\curryst01,PG,29,GSW,15,14,37,9.1,20.3,0.451,4.3,10.8,0.395,4.9,9.5,0.514,0.556,3,3.1,0.957,0.6,5.5,6.1,5.4,1.7,0.7,2.9,2.5,25.5
48,Anthony Davis\davisan02,PF,24,NOP,9,9,39.8,11.8,22.7,0.52,0.7,2.4,0.273,11.1,20.2,0.549,0.534,5.9,7.1,0.828,2.7,10.8,13.4,1.7,2,2.3,2.6,3.3,30.1
49,Ed Davis\davised01,C,28,POR,4,0,17.8,1.3,2.5,0.5,0,0,,1.3,2.5,0.5,0.5,0.3,1,0.25,1.3,6.8,8,0,0,0.3,1,1.8,2.8
50,Matthew Dellavedova\dellama01,PG,27,MIL,6,0,13,0.7,2,0.333,0.3,1.5,0.222,0.3,0.5,0.667,0.417,0.3,0.3,1,0.2,0.7,0.8,2.7,0.3,0,1,1,2
51,DeMar DeRozan\derozde01,SG,28,TOR,10,10,35.4,8.7,19.9,0.437,1,3.5,0.286,7.7,16.4,0.47,0.462,4.3,5.3,0.811,0.6,3,3.6,4,0.5,0.6,2.3,2.4,22.7
52,Cheick Diallo\diallch01,PF,21,NOP,7,0,6.9,0.7,1.7,0.417,0,0,,0.7,1.7,0.417,0.417,0,0,,0.6,0.7,1.3,0,0.1,0.1,0.1,1.3,1.4
53,Gorgui Dieng\dienggo01,C,28,MIN,5,0,14,1.2,3.6,0.333,0.4,1,0.4,0.8,2.6,0.308,0.389,0.6,0.8,0.75,0.6,3,3.6,0.8,0.4,0.8,0.2,1.2,3.4
54,Goran Dragic\dragigo01,PG,31,MIA,5,5,31.2,7,15,0.467,1.6,4.2,0.381,5.4,10.8,0.5,0.52,3,4.4,0.682,0.6,2,2.6,4.6,1,0,3,3,18.6
55,Kevin Durant\duranke01,SF,29,GSW,21,21,38.4,10.1,20.7,0.487,2.2,6.6,0.341,7.9,14.1,0.556,0.541,6.5,7.2,0.901,0.6,7.1,7.8,4.7,0.7,1.2,2.4,2,29
56,Wayne Ellington\ellinwa01,SG,30,MIA,5,0,20.2,2.4,7,0.343,2.4,6,0.4,0,1,0,0.514,0.6,0.6,1,0.2,1.4,1.6,0.6,0.4,0.4,0.6,1.8,7.8
57,Joel Embiid\embiijo01,C,23,PHI,8,8,34.8,7.5,17.3,0.435,1,3.6,0.276,6.5,13.6,0.477,0.464,5.4,7.6,0.705,2.9,9.8,12.6,3,0.9,1.8,3.6,3.9,21.4
58,Dante Exum\exumda01,PG,22,UTA,10,0,11.4,2,4.1,0.488,0.2,0.7,0.286,1.8,3.4,0.529,0.512,0.9,1.2,0.75,0.4,1,1.4,1,0.1,0.1,1.5,1.5,5.1
59,Derrick Favors\favorde01,C,26,UTA,11,9,26,3.8,6.2,0.618,0.2,0.5,0.4,3.6,5.7,0.635,0.632,1.5,3,0.485,1.8,3.4,5.2,1.2,0.7,1,0.9,1.5,9.3
60,Raymond Felton\feltora01,PG,33,OKC,6,0,13.2,2,5.2,0.387,1.2,2.3,0.5,0.8,2.8,0.294,0.5,0,0.3,0,0.3,1.8,2.2,1.5,0.7,0.3,0.8,1.2,5.2
61,Terrance Ferguson\fergute01,SG,19,OKC,3,0,2,0.3,0.3,1,0.3,0.3,1,0,0,,1.5,0,0,,0.3,0,0.3,0.3,0,0,0,0.7,1
62,Bryn Forbes\forbebr01,SG,24,SAS,4,0,13.5,1.3,4.3,0.294,0.5,2.3,0.222,0.8,2,0.375,0.353,1.3,1.8,0.714,0.3,0.5,0.8,0.5,0,0,0,0.8,4.3
63,Tim Frazier\fraziti01,PG,27,WAS,2,0,3,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0.5,0.5,1.5,0.5,0,0,1,0
64,Markelle Fultz\fultzma01,SG,19,PHI,3,0,7.7,0.3,2.3,0.143,0,0,,0.3,2.3,0.143,0.143,1,1.3,0.75,0,1,1,1.7,0.7,0,0.3,1.3,1.7
65,Pau Gasol\gasolpa01,C,37,SAS,5,0,18,2,4,0.5,0.2,0.6,0.333,1.8,3.4,0.529,0.525,1.8,2,0.9,0.4,4.4,4.8,2.8,0,0.2,1.2,1,6
66,Rudy Gay\gayru01,PF,31,SAS,5,4,32,5.2,13,0.4,0.8,3.6,0.222,4.4,9.4,0.468,0.431,1,1.8,0.556,1.8,3.8,5.6,2.2,1.6,0.2,1.2,3.2,12.2
67,Paul George\georgpa01,SF,27,OKC,6,6,41.8,8.2,20,0.408,3.2,8.7,0.365,5,11.3,0.441,0.488,5.2,6,0.861,0.7,5.3,6,2.7,1.3,0.7,4,2.8,24.7
68,Marcus Georges-Hunt\georgma01,SG,23,MIN,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0.5,0,0.5,0,0,0,0,0,0
69,Taj Gibson\gibsota01,PF,32,MIN,5,5,24.6,2.8,4.4,0.636,0,0,,2.8,4.4,0.636,0.636,0.6,0.6,1,1.4,2.6,4,0.4,0.2,0.4,0.8,1.6,6.2
70,Manu Ginobili\ginobma01,SG,40,SAS,5,0,21.4,3,7.4,0.405,1.2,3.6,0.333,1.8,3.8,0.474,0.486,1.8,2.2,0.818,0.2,2.8,3,3.2,1.4,0.2,1.4,2.6,9
71,Rudy Gobert\goberru01,C,25,UTA,11,11,34.8,5,7.6,0.655,0,0,,5,7.6,0.655,0.655,3.2,5.3,0.603,3.9,6.8,10.7,1,0.9,2.3,1.9,3.1,13.2
72,Eric Gordon\gordoer01,SG,29,HOU,17,2,32.3,4.9,13,0.38,2.5,7.6,0.331,2.4,5.4,0.451,0.477,3,3.6,0.836,0.5,2.1,2.6,1.6,0.6,0.5,1.4,1.7,15.4
73,Marcin Gortat\gortama01,C,33,WAS,6,6,26.7,4,7.2,0.558,0,0,,4,7.2,0.558,0.558,0.7,1.2,0.571,2.2,4.2,6.3,1,0,0.3,1,2.5,8.7
74,Jerami Grant\grantje01,PF,23,OKC,6,0,22.2,3,5.8,0.514,0.3,1.3,0.25,2.7,4.5,0.593,0.543,0.8,1.8,0.455,1.3,2,3.3,1,0.7,0.5,1,2.5,7.2
75,Danny Green\greenda02,SG,30,SAS,5,5,20.6,1.6,6,0.267,1,4,0.25,0.6,2,0.3,0.35,0,0,,0.8,1.4,2.2,0.2,0.2,0.8,0.4,1.6,4.2
76,Draymond Green\greendr01,PF,27,GSW,21,21,39,4,9.1,0.432,1,3.8,0.266,3,5.4,0.549,0.487,1.9,2.3,0.796,2,8.6,10.6,8.1,2,1.5,3,3.6,10.8
77,Gerald Green\greenge01,SG,32,HOU,17,0,16,2.2,5.5,0.394,1.6,4.2,0.375,0.6,1.3,0.455,0.537,0.4,0.4,0.857,0.4,2.6,2.9,0.1,0.2,0.4,0.6,1.6,6.3
78,Jeff Green\greenje02,PF,31,CLE,22,2,23.8,2.6,6.5,0.408,1,3.2,0.3,1.7,3.3,0.514,0.482,1.5,2.1,0.717,0.3,2.1,2.4,1.5,0.3,0.7,0.8,1.6,7.7
79,James Harden\hardeja01,SG,28,HOU,17,17,36.5,9.3,22.6,0.41,3.1,10.2,0.299,6.2,12.4,0.502,0.478,6.9,7.8,0.887,0.8,4.4,5.2,6.8,2.2,0.6,3.8,2.7,28.6
80,Maurice Harkless\harklma01,SF,24,POR,2,1,26.5,3.5,6.5,0.538,1,3,0.333,2.5,3.5,0.714,0.615,0,0,,1.5,2.5,4,2,0,0.5,0.5,2,8
81,John Henson\hensojo01,C,27,MIL,2,2,37,4.5,6.5,0.692,0,0,,4.5,6.5,0.692,0.692,0.5,1,0.5,2,4,6,2.5,0,3.5,2,2,9.5
82,Nene Hilario\hilarne01,C,35,HOU,11,0,9.7,1.1,1.8,0.6,0,0,,1.1,1.8,0.6,0.6,0.6,1,0.636,0.5,2,2.5,0.5,0.2,0.5,0.7,1.6,2.8
83,George Hill\hillge01,PG,31,CLE,19,18,29.3,3.1,6.9,0.45,0.8,2.7,0.314,2.3,4.2,0.538,0.511,2.2,2.8,0.774,0.7,1.5,2.2,2.2,0.5,0.4,1.2,2.7,9.2
84,Solomon Hill\hillso01,SF,26,NOP,9,0,12.7,1,2.8,0.36,0.7,1.8,0.375,0.3,1,0.333,0.48,1,1.1,0.9,0.7,1.2,1.9,0.8,0.1,0.1,0.7,1.9,3.7
85,Jrue Holiday\holidjr01,SG,27,NOP,9,9,38.7,9.8,18.9,0.518,1.8,5.6,0.32,8,13.3,0.6,0.565,2.3,3.3,0.7,1,4.7,5.7,6.3,1.1,0.6,2.6,2.4,23.7
86,Richaun Holmes\holmeri01,C,24,PHI,3,0,3.7,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0.3,0.3,0.3,0,0,0,1,0
87,Rodney Hood\hoodro01,SG,25,CLE,17,1,15.3,2.3,5.4,0.424,0.2,1.4,0.167,2.1,4,0.515,0.446,0.5,0.7,0.75,0.4,1.4,1.8,1.1,0.3,0.2,0.8,1.8,5.4
88,Al Horford\horfoal01,C,31,BOS,19,19,35.7,5.8,10.7,0.544,0.8,2.3,0.349,5.1,8.5,0.596,0.581,3.3,3.9,0.827,1.7,6.6,8.3,3.3,1,1.2,1.7,2.1,15.7
89,Josh Huestis\huestjo01,PF,26,OKC,4,0,4.8,0.3,0.5,0.5,0,0,,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0,0.8,0.8,0,0.3,0.3,0,0.8,0.8
90,Serge Ibaka\ibakase01,PF,28,TOR,10,9,26,3,7.2,0.417,0.9,2.4,0.375,2.1,4.8,0.438,0.479,1.8,2.2,0.818,1.3,4.6,5.9,1.1,0.1,1.3,1.6,2.1,8.7
91,Andre Iguodala\iguodan01,SF,34,GSW,15,12,26.7,2.8,5.7,0.494,0.9,2.5,0.378,1.9,3.2,0.583,0.576,1.6,2.3,0.706,0.7,3.8,4.5,2.7,1.4,0.5,0.9,1.9,8.1
92,Ersan Ilyasova\ilyaser01,PF,30,PHI,10,1,23.3,3.6,8.4,0.429,0.9,3.1,0.29,2.7,5.3,0.509,0.482,1.2,2.1,0.571,2.6,5,7.6,1.3,0.7,0.4,1,2.5,9.3
93,Joe Ingles\inglejo01,SF,30,UTA,11,11,34.7,5.2,11,0.471,3.2,7,0.455,2,4,0.5,0.616,1,1.5,0.647,0.5,3.9,4.4,3.4,0.5,0.2,2.4,2.6,14.5
94,Aaron Jackson\jacksaa01,PG,31,HOU,7,0,2.4,0.3,0.6,0.5,0,0.3,0,0.3,0.3,1,0.5,0.1,0.3,0.5,0.3,0.3,0.6,0.3,0,0,0.3,0.3,0.7
95,LeBron James\jamesle01,PF,33,CLE,22,22,41.9,12.5,23.2,0.539,1.8,5.2,0.342,10.7,18,0.596,0.577,7.2,9.7,0.746,1.4,7.7,9.1,9,1.4,1,4.3,2.4,34
96,Brandon Jennings\jennibr01,PG,28,MIL,1,0,5,0,2,0,0,2,0,0,0,,0,2,2,1,0,0,0,0,0,0,1,0,2
97,Jonas Jerebko\jerebjo01,PF,30,UTA,10,0,7.9,0.8,1.9,0.421,0.1,0.6,0.167,0.7,1.3,0.538,0.447,0.2,0.2,1,0.4,1.2,1.6,0.3,0.3,0,0.1,0.9,1.9
98,Amir Johnson\johnsam01,C,30,PHI,8,1,11.8,1.4,2.6,0.524,0,0,,1.4,2.6,0.524,0.524,0.5,0.6,0.8,1.8,1.1,2.9,1.1,0.3,0.1,0.4,1.3,3.3
99,Dakari Johnson\johnsda04,C,22,OKC,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
100,James Johnson\johnsja01,PF,30,MIA,5,5,32.2,4.6,8.4,0.548,1.4,2.6,0.538,3.2,5.8,0.552,0.631,1.8,2.8,0.643,0.6,5.4,6,4.8,1.2,1.2,2,3.4,12.4
101,Joe Johnson\johnsjo02,SF,36,HOU,8,0,6.8,0.8,2.1,0.353,0,0.4,0,0.8,1.8,0.429,0.353,0,0,,0,1.3,1.3,0.4,0,0.1,0.4,0.5,1.5
102,Tyler Johnson\johnsty01,PG,25,MIA,5,5,16.2,2.8,5.2,0.538,1.2,2,0.6,1.6,3.2,0.5,0.654,1.2,1.4,0.857,0.2,1.4,1.6,0.8,0.4,0,0.4,2.8,8
103,Damian Jones\jonesda03,C,22,GSW,4,0,2.8,0.3,0.5,0.5,0,0,,0.3,0.5,0.5,0.5,0.5,0.8,0.667,0.3,0.5,0.8,0,0,0,0.8,1,1
104,Tyus Jones\jonesty01,PG,21,MIN,4,0,13.8,0.5,1.8,0.286,0,0.5,0,0.5,1.3,0.4,0.286,0,0,,0,2.3,2.3,2,0.3,0,0.3,0,1
